Date,Country,Area,Location,Sex,Fatal
2004-08-20,USA,California,"204s, San Clemente, Orange County",M,False
2004-06-26,USA,California,"San Onofre State Beach, San Diego County",M,False
2004-01-21,VENEZUELA,Anzoategui,"Santa Cruz Beach, Mochima National Park, 250 km from Caracas",M,False
2003-10-31,AUSTRALIA,New South Wales,"Lighthouse Beach, Seal Rocks",M,False
2003-07-15,USA,Florida,"Daytona Beach, Volusia County",F,False
2003-04-15,USA,Florida,"Cocoa Beach, Brevard County",M,False
2003-01-02,AUSTRALIA,Western Australia,Left break at the ‘Hot Spot’ at Sheringa Beach,F,False
2001-04-12,USA,Florida,"New Smyrna Beach, Volusia County",M,False
2000-12-05,CANADA,New Brunswick,Bay of Fundy,M,False
2000-03-26,USA,Florida,"Juno Beach, Palm Beach County",F,False
1998-08-12,SOUTH AFRICA,Transvaal,"National Zoological Gardens Aquarium, Pretoria",M,False
1997-07-27,AUSTRALIA,Queensland,"Pincushion, north of Maroochydore Beach",M,False
1997-06-15,FIJI,Taveuni,Off a small island 5 km from Garden Island Resort,F,False
1997-02-28,AUSTRALIA,Queensland,"Carrara, Nerang River",F,False
1996-10-28,BRAZIL,Pernambuco,Barra de Jangada,M,False
1996-02-09,PAPUA NEW GUINEA,Madang Province,Madang,M,True
1996-01-10,REUNION ISLAND,Saint-Paul,Embouchure de l'étang de Saint Paul,M,True
1995-07-06,USA,Texas,Port Aransas,M,False
1994-01-09,AUSTRALIA,Queensland,"Katana Downs Reach, Brisbane River",M,False
1993-05-01,SOMALIA,Banaadir Region,"Arroyo Beach, Mogadishu",F,True
1992-11-14,USA,California,"Ano Nuevo, San Mateo County",M,False
1992-07-21,USA,Florida,"Manasota Beach, Sarasota County",F,False
1991-09-08,AUSTRALIA,South Australia,"Snapper Point, Aldinga Beach, Adelaide",M,True
1990-12-26,SOUTH AFRICA,Eastern Cape Province,Port Elizabeth,M,
1990-09-08,USA,California,"Russian Gulch, Jenner, Sonoma County",M,False
1989-08-06,AUSTRALIA,Queensland,Moreton Bay,M,False
1989-06-17,USA,Louisiana,40 miles off Cocodrie,M,False
1988-10-01,USA,Florida,"Sanibel Island, Lee County",F,False
1988-09-21,PAPUA NEW GUINEA,New Ireland,Between Nago and Makau,M,True
1988-07-19,BAHAMAS,,,M,False
1987-06-13,USA,Florida,"Nest Key, Monroe County",M,False
1986-02-18,SOUTH AFRICA,Eastern Cape Province,East London,M,False
1985-09-08,USA,Florida,"Palm Beach, Palm Beach County",M,False
1985-07-25,USA,Florida,"New Smyrna Beach, Volusia County",M,False
1985-01-01,VANUATU,Malampa Province,"Port Sandwich Bay, Lamap, Malakula",M,True
1984-10-21,USA,Florida,"3 miles south of Sebastian Inlet State Park, Indian River County",F,False
1984-10-14,USA,Florida,"Bob Graham Beach, Martin County",M,False
1984-09-30,USA,California,"Tomales Point, Marin County",M,False
1983-08-13,USA,Florida,"6 miles south of Boca Chica Key, Monroe County",F,False
1983-07-25,AUSTRALIA,Queensland,"Off Lodestone Reef, Great Barrier Reef, north of Townsville",M,True
1981-06-12,USA,Hawaii,"Honoli'i Pali, Hilo Bay ('Alae Point), Hawai'i",M,
1980-05-15,SOUTH AFRICA,Eastern Cape Province,Fuller’s Bay,M,False
1978-12-12,SOUTH AFRICA,KwaZulu-Natal,Sodwana,M,True
1977-10-30,SOUTH AFRICA,Western Cape Province,"Bluegums Rock, Partridge Point",M,False
1976-11-23,SOUTH AFRICA,KwaZulu-Natal,Warner Beach,M,
1976-06-10,USA,Hawaii,"Kama'ole Beach, Park No. 1, Kihei, Maui",M,False
1975-06-01,USA,Florida,"New Smyrna Beach, Volusia County",M,False
1975-04-18,SOUTH AFRICA,KwaZulu-Natal,Durban,M,
1975-02-09,AUSTRALIA,Victoria,Anglesea,M,False
1974-02-13,SOUTH AFRICA,KwaZulu-Natal,"Inyoni Rocks, Amanzimtoti",M,False
1971-12-16,SOUTH AFRICA,Western Cape Province,"Fish Hoek, False Bay",F,False
1969-07-22,USA,Florida,Florida Keys,M,False
1967-11-30,AUSTRALIA,New South Wales,Wollongong,M,False
1967-09-20,USA,Hawaii,"Kailua Bay, O'ahu",M,
1967-08-26,JAPAN,Kagawa Prefecture,Sakaide,M,True
1967-08-07,USA,Florida,Near Key West,M,False
1966-01-10,AUSTRALIA,Western Australia,Woodman Point,M,False
1965-06-09,MEXICO,Veracruz,Mocambo,M,False
1965-01-09,NEW GUINEA,Central Province,Off Gaire Village,M,True
1964-02-02,AUSTRALIA,Queensland,Brisbane,M,
1963-12-20,SOUTH AFRICA,Western Cape Province,Hartenbos,M,False
1963-02-27,PAPUA NEW GUINEA,New Ireland Province,Namatanai,M,False
1961-05-15,USA,Florida,"Laguna Beach, Bay County",M,False
1961-03-30,AUSTRALIA,South Australia,Glenelg Breakwater,M,False
1961-02-16,JAMAICA,,,M,True
1961-01-06,SOUTH AFRICA,KwaZulu-Natal,Winkelspruit,M,False
1959-08-11,JAPAN,Wakayama Prefecture,"Isonoura Beach, Wakayama City",M,True
1959-03-29,USA,Florida,"Vaca Cut Channel & bridge under Marathon, Monroe County",M,False
1959-01-27,ECUADOR,Galapagos Islands,Crewing on  the tuna clipper Mary Barbara,M,False
1956-08-25,PAPUA NEW GUINEA,Central Province,"Paga Point or Fishermans Island, Port Moresby",M,True
1956-08-01,PAPUA NEW GUINEA,Central Province,Yule Island,M,False
1956-01-01,PAPUA NEW GUINEA,"Admiralty Islands, Manus Province",Hus Island,M,False
1955-01-01,MADAGASCAR,18S / 50E,,M,True
1954-01-22,ARGENTINA,Buenos Aires Province,"Miramar Beach, 46 km south of Mar de Plata, Buenos Aires",M,False
1962-12-14,GUATEMALA,,,F,
1951-11-28,JAMAICA,Kingston Parish,Kingston Harbor,M,False
1950-07-15,CUBA,Caribbean Sea,,M,False
1950-01-16,USA,Hawaii,"Kahakuloa, Maui",M,
1949-07-28,IRAN,Shatt-al-Arab River,Bashamir,M,True
1948-01-01,PAPUA NEW GUINEA,Bougainville (North Solomons),"Tung Island, off the west coast of Buka Island",M,False
1946-07-18,IRAN,Khuzestan Province,"Ahvaz, on the Karun River, 275 km from the sea",M,False
1944-09-01,CARIBBEAN SEA,,,M,True
1943-06-16,AUSTRALIA,Tasmania,Triabunna,M,False
1942-11-21,INDIAN OCEAN,,Bound from Cape Town for St. Helena,M,True
1941-02-01,JAMAICA,Trelawney Province,Bogue (near Falmouth),M,False
1939-12-28,AUSTRALIA,New South Wales,"Cabramatta Creek, George’s River",M,
1939-10-25,AUSTRALIA,Queensland,Near Restoration Rock off Portland Roads,M,False
1935-03-13,AUSTRALIA,Queensland,Pimpana River,M,False
1933-09-27,ISRAEL,,Nabi Rubin,M,False
1932-12-09,NEW ZEALAND,North Island,Mahurangi River Mouth,M,False
1932-04-16,PHILIPPINES,Manila,Fort Mills,F,True
1930-06-04,AUSTRALIA,Torres Strait,Near Mabuiag Island,M,True
1930-05-27,USA,Texas,High Island,M,False
1928-11-18,USA,New Jersey,"Seabright, Monmouth County",M,False
1928-09-01,USA,Texas,Corpus Christi,M,False
1924-11-21,USA,Puerto Rico,Santurce,M,True
1922-01-28,IRAQ,,Shatt-al Arab River,M,True
1919-03-16,AUSTRALIA,New South Wales,Sydney Harbor,M,
1917-09-21,USA,New Jersey,"Sea Bright, Monmouth County",M,False
1913-08-27,USA,New Jersey,"Lavalette, Ocean County",M,
1910-06-25,MEXICO,,LaBarra,M,False
1907-12-21,AUSTRALIA,New South Wales,"Middle Harbour, Sugarloaf Bay, Sydney (Estuary)",M,True
1903-05-04,MEXICO,Veracruz,Coatzacoalcos,M,True
2023-07-29,USA,Florida,Tampa Bay,F,False
2023-04-22,AUSTRALIA,Western Australia,Lucy's Beach,M,False
2023-03-02,SEYCHELLES,Praslin Island,,M,
2023-02-18,ARGENTINA,Patagonia,Chubut Province,M,
2022-07-28,ENGLAND,Cornwall,Penzance,F,False
2022-03-09,USA,Florida,"New Smyrna Beach, Volusia County",M,False
2021-12-06,AUSTRALIA,Victoria,Ocean Grove  Beach,M,False
2021-01-22,USA,Hawaii,Maui,M,False
2021-01-02,USA,Florida,"Cocoa Beach, Brevard  County",M,False
2020-10-30,BAHAMAS,Grand Bahama Island,East End Point,M,False
