Date,Country,Area,Location,Sex,Fatal
2015-04-29,USA,Hawaii,Kanahena Cove,F,True
2015-01-27,USA,Hawaii,Lahaina,M,False
2014-12-29,AUSTRALIA,Western Australia,Three Stripes near Cheynes Beach,M,True
2014-12-28,AUSTRALIA,Victoria,Paradise Beach,M,False
2014-08-06,USA,South Carolina,"Folly Beach, Charleston County",M,False
2014-04-04,USA,Florida,"New Smyrna Beach, Volusia County",M,False
2014-03-02,USA,Florida,"Santa Lucea Beach, South Hutchinson Island, St. Lucie County",M,False
2013-09-01,USA,Florida,Key West Aquarium,F,False
2013-06-25,USA,Florida,"Jacksonville, Duval County",M,False
2013-03-31,AUSTRALIA,New South Wales,Terrigal Beach,M,
2012-09-02,USA,Florida,"New Smyrna Beach, Volusia County",F,False
2011-12-25,ECUADOR,Santa Elena,Barandúa Beach,M,False
2011-12-21,USA,Hawaii,"Makahuena Point, Kauai",M,False
2010-10-02,BAHAMAS,Exuma Islands,,M,False
2010-02-06,USA,Florida,Riviera Beach,M,False
2009-06-02,EGYPT,St. Johns Reef,Habili Gafar,M,False
2009-03-19,AUSTRALIA,New South Wales,South Broulee,M,False
2009-01-16,NEW ZEALAND,South Island,Karitane Beach,M,False
2009-01-11,AUSTRALIA,New South Wales,Fingal Beach,M,False
2008-02-21,FRENCH POLYNESIA,Society Islands,Tahiti,M,False
2008-01-01,JAPAN,Tokyo Bay,,M,
2008-01-27,AUSTRALIA,Queensland,200 km east of Coolangatta,M,False
2007-12-07,BRAZIL,Pernambuco,Itamaracá,M,False
2007-08-12,USA,Florida,"New Smyrna Beach, Volusia County",F,False
2007-07-18,USA,North Carolina,"North Topsail Beach, Onslow  County",M,False
2007-04-20,USA,Florida,"New Smyrna Beach, Volusia County",M,False
2006-09-03,BRAZIL,,,M,True
2006-08-20,ITALY,,Lampedusa Island,M,True
2006-07-23,USA,Texas,"Sargent Beach, Matagorda County",M,False
2006-04-11,AUSTRALIA,New South Wales,Newcastle Beach,M,False
2006-03-23,USA,Hawaii,"Leftovers, near Waimea Bay, O'ahu",F,False
2005-11-20,USA,Florida,"New Smyrna  Beach, Volusia County",M,False
2005-09-07,AUSTRALIA,New South Wales,"Park Beach, Coff's Harbour",M,False
2005-01-08,NEW ZEALAND,North Island,Taupiri Bay,M,False
2004-07-28,USA,North Carolina,"Rodanthe, Dare County",F,False
2004-07-25,USA,Texas,"Bryan Beach, Brazoria County",M,False
2004-04-13,TONGA,Nuku'alofa,30 nautical miles offshore,M,True
2004-02-26,NEW ZEALAND,"South Island, near Karitane north of Dunedin",South Beach,M,False
2003-11-12,INDIA,Tamil Nadu,"Mahabalipuram beach, 37 km south of Chennai",M,False
2003-11-12,USA,Florida,"South Jetty, New Smyrna Beach, Volusia County",M,False
2003-08-12,USA,California,"Venice Beach, Los Angeles County",M,
2002-12-01,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",M,True
2002-08-11,USA,Florida,"Vero Beach, Indian River County",M,False
2002-07-26,USA,South Carolina,"Myrtle Beach, Horry County",M,False
2002-06-20,AUSTRALIA,Queensland,Sunshine Beach,M,False
2001-09-18,USA,Florida,"New Smyrna Beach, Volusia County",M,False
2001-04-11,USA,Florida,"New Smyrna Beach / Waveland, Volusia County",M,False
2001-04-11,USA,Hawaii,"Ewa Beach, O'ahu",M,False
2000-11-06,AUSTRALIA,Western Australia,"Cottesloe Beach, Perth",M,True
2000-10-06,USA,Florida,"New Smyrna Beach, Volusia County",M,False
2000-08-15,USA,Hawaii,"Kanaha Beach, Maui",M,False
1999-01-29,MAURITIUS,,Belle-Mare,M,False
1998-04-17,USA,Florida,"Marathon, Monroe County",M,False
1997-10-24,USA,Florida,"North Jetty, Fort Pierce Inlet State Park, St. Lucie County",M,False
1997-07-12,OKINAWA,Miyako,Hirara,M,True
1997-02-21,USA,Hawaii,"Sunset Beach, O'ahu",M,
1995-05-24,FIJI,Yasawa Islands,Waya Island,M,True
1994-10-09,USA,Florida,"Bill Baggs Cape Florida State Recreation Area, Miami-Dade County",F,False
1994-05-31,USA,Florida,"Daytona Beach, Volusia County",M,False
1994-04-16,USA,California,"Sunset Cliffs, San Diego, San Diego County",F,
1994-04-06,BAHAMAS,,Rum Cay,M,False
1994-04-03,USA,Florida,"Miami Beach, Dade County",M,False
1993-08-15,USA,North Carolina,Pamlico Sound,F,False
1992-11-29,USA,California,"San Onofre, San Diego County",M,False
1992-10-29,USA,California,"Castle Rock, San Miguel Island, Santa Barbara County",M,False
1992-08-29,BAHAMAS,Abaco Islands,Double Breasted Cays,F,False
1992-01-29,REUNION ISLAND,La Saline-les-Bains,Revine-3-Bassins,M,False
1991-05-19,SOUTH AFRICA,Western Cape Province,Gordon’s Bay,M,False
1989-10-22,AUSTRALIA,Tasmania,Shelly Point,M,False
1989-10-14,USA,Hawaii,"Kahe Point, O'ahu",M,
1989-03-09,AUSTRALIA,South Australia,"Waitpinga Beach, near Victor Harbor, Encounter Bay",M,True
1988-08-19,JAPAN,Tokyo Prefecture,Ogasawara Islands,M,False
1988-02-13,SOUTH AFRICA,KwaZulu-Natal,Mtunzini,F,False
1987-11-21,USA,Florida,"North of Jupiter Inlet, Palm Beach County",M,False
1987-11-01,SOUTH AFRICA,KwaZulu-Natal,St. Lucia,M,
1986-12-31,SOUTH AFRICA,Western Cape Province,Agulhas Banks,M,False
1986-05-15,SOUTH KOREA,,,M,True
1986-03-18,SPAIN,Cádiz,Tarifa,M,False
1984-10-21,USA,Florida,"Wabasso Beach, Indian River County",M,
1984-06-15,SOUTH AFRICA,Western Cape Province,"Muizenberg, False Bay",M,False
1983-09-04,USA,Florida,"Off Lake Worth, Palm Beach County",M,False
1981-10-19,USA,Florida,"Jupiter Island, Brevard County",M,False
1981-06-15,ENGLAND,,Isle of Wight,M,False
1979-09-14,AUSTRALIA,New South Wales,Byron Bay,M,False
1974-09-28,USA,California,"North of Point Sur, Monterey County",M,False
1974-09-01,USA,Oregon,Myers Creek,M,False
1973-03-05,MOZAMBIQUE,Gaza,"Chongeone, Xai Xai",M,True
1971-07-19,USA,California,"Point Purisima, Santa Barbara County",M,False
1971-04-05,VENEZUELA,,,M,True
1964-03-01,SENEGAL,Cap Vert Peninsula,"Bel Air, Dakar",M,False
1954-02-08,SOUTH AFRICA,Western Cape Province,Muizenberg,M,False
1963-11-14,AUSTRALIA,Queensland,Mermaid Beach,M,False
1963-02-24,AUSTRALIA,New South Wales,Wombarra Beach near Austinmeer,M,False
1962-10-01,PANAMA,Pinas Bay,,M,True
1962-07-20,MADAGASCAR,,"Onboard tuna boat, M.V. Toscui Maru",M,False
1962-05-29,USA,Florida,"Jupiter, Palm Beach County",M,False
1962-01-27,NEW ZEALAND,South Island,Oreti Beach,M,False
1961-06-02,NEW BRITAIN,East New Britain Province,Rabaul,M,False
1961-05-21,USA,California,"Tomales Point, Marin County",M,False
1961-04-21,MOZAMBIQUE,Gaza,"Sepulveda Beach, Xai Xai",M,False
1961-01-01,SENEGAL,Cap Vert Peninsula,Thiaroye Guedi,M,True
1960-10-25,USA,California,"Off Point Mugu, Ventura County",M,False
1960-09-24,USA,South Carolina,"Atlantic Beach, Horry County",M,False
1960-01-16,AUSTRALIA,New South Wales,"Just below Roseville Bridge, opposite Killarney picnic reserve, Middle Harbor, Sydney",M,True
1959-10-04,USA,California,"Bodega Rock, Sonoma County",M,False
1959-04-27,AUSTRALIA,New South Wales,Maroubra Bay,M,
1958-09-01,USA,New York,Staten Island,M,False
1955-09-20,USA,Hawaii,East Moloka'i,M,False
1954-07-15,THE BALKANS,Slovenia,Between Punta Grossa & Koper,M,True
1954-04-08,USA,Hawaii,"Wailupe, O'ahu",M,
1950-11-25,AUSTRALIA,Queensland,"Burleigh Heads, Brisbane",M,False
1950-05-01,ITALY,Tyrrhenian Sea,"Sprizze, Isola d'Elba",M,False
1950-03-08,SOUTH AFRICA,KwaZulu-Natal,"North Beach, Durban",M,True
1947-05-13,KENYA,Coast Province,"Kilindini Harbor, Mombasa",M,False
1946-01-24,SOUTH AFRICA,KwaZulu-Natal,"Battery Beach, Durban",M,False
1944-05-31,USA,Florida,"Atlantic Beach, Mayport,  Duval County",F,False
1942-05-09,AUSTRALIA,Queensland,"Great Barrier Reef, off Cairns",M,False
1940-12-28,AUSTRALIA,New South Wales,"Stockton Beach, Newcastle",M,True
1940-03-20,AUSTRALIA,New South Wales,Gerringong,M,False
1937-08-02,PANAMA,Colon Province,Limon Bay,M,True
1937-05-15,AUSTRALIA,Queensland,"Ross River, Townsville",M,True
1936-09-04,USA,Hawaii,"Lahaina, Maui",M,False
1936-04-22,AUSTRALIA,Queensland,Arlington Reef near Cairns,M,False
1933-11-20,AUSTRALIA,Torres Strait,Near Boydong Cay,M,True
1932-04-16,PHILIPPINES,Manila,Fort Mills,M,True
1929-04-09,AUSTRALIA,Torres Strait,Badu Island,M,True
1926-07-12,USA,New Jersey,20 miles off Seabright,M,False
1926-05-18,USA,Hawaii,"Hale'iwa, O'ahu",M,True
1926-04-07,USA,Hawaii,"Hilo Bay Yacht Club, Hilo, Hawai'i",F,False
1924-07-14,ENGLAND,Dorset,Weymouth,M,False
1923-10-20,AUSTRALIA,New South Wales,"Botany Bay, Sydney",M,
1919-05-29,USA,South Carolina,"James Island Sound, Charleston",M,False
1918-11-01,SAN DOMINGO,60 miles north of San Domingo in the West Indies,Muchoir Banks,M,True
1916-07-12,USA,New Jersey,"In Matawan Creek, off NJ Clay Company brickyards at Cliffwood, Monmouth County, 9.5 miles from the sea, Monmouth County",M,False
1916-06-30,USA,New Jersey,"Atlantic City, Atlantic County",M,False
1914-06-10,AUSTRALIA,Victoria,Sandringham,M,True
1913-05-21,USA,Florida,"John's Pass, Pinellas County",M,False
1911-11-08,USA,Florida,"Pensacola Bay, Escambia County",M,
1907-10-18,AUSTRALIA,Torres Strait,Near Thursday Island,M,True
1907-01-01,VIETNAM,Khánh Hòa Province,Nha Trang,M,False
1902-11-10,AUSTRALIA,New South Wales,"Middle Harbour, Sydney",M,True
1902-08-24,CROATIA,Istria County,Porec,M,False
1902-01-25,AUSTRALIA,New South Wales,Kerosene Bay,M,True
1902-01-19,AUSTRALIA,Queensland,Brisbane,M,False
2023-07-31,USA,Florida,"New Smyrna Beach, Volusia County",M,False
2023-05-11,USA,Florida,"Fort Pierce, St. Lucie County",F,False
2023-04-09,USA,Florida,Off Boca Raton. Palm Beach County,M,False
2023-03-22,AUSTRALIA,Western Australia,Delta Island,M,False
2022-10-06,AUSTRALIA,Victoria,"Nun's Beach, Portland",M,False
2022-08-15,USA,South Carolina,"Myrtle Beach, Horry County",F,False
2022-07-03,USA,Florida,"New Smyrna Beach, Volusia County",M,False
2022-06-22,USA,California,"Pacific Grove, Monterey County",M,False
2022-03-15,AUSTRALIA,New South Wales,Crowdy Baay,M,False
2022-02-12,MEXICO,Sonora,Yavaros,M,True
2022-01-09,SOUTH AFRICA,KwaZulu-Natal,"Off Beachbums, Tongaat",M,False
2021-07-19,AUSTRALIA,Western Australia,Rottnest Island,M,False
2021-07-15,USA,Florida,"New Smyrna Beach, Volusia County",M,False
2021-06-25,JORDAN,Aqaba,,M,False
2021-06-11,AUSTRALIA,Western Australia,Five Fingers Reef,M,False
2021-05-15,USA,Hawaii,"Kanaha Beach Park, Maui",M,False
2021-03-20,AUSTRALIA,Western Australia,Yallingup,M,False
2021-02-06,USA,Hawaii,"Waiokapua Bay, Kaui",M,False
2021-01-27,NEW ZEALAND,North Island,"Papamoa Beach, Bay of Plenty",M,False
2020-07-23,USA,Bahamas,Spanish Cay,M,False
2020-06-01,USA,Hawaii,"Davidsons Beach, Kauai",M,False
2019-11-11,MEXICO,Baja,Magdalena Bay,M,False
2019-08-16,FIJI,,reef 40km east Vanua Levu,M,False
2019-07-16,USA,North Carolina,"Sunset Beach, Brunswick County",F,False
2019-07-12,USA,Florida,"Amelia Island, Nassau County",F,False
2019-06-16,USA,North Carolina,"Bald Head Island, Brunswick County",M,False
2018-12-15,AUSTRALIA,New South Wales,,M,False
2018-07-15,COLOMBIA,San Andres and Providencia Archipelago,Provencia,M,
2017-11-18,USA,Florida,"Floridana Beach, Brevard County",F,False
2017-10-18,USA,Florida,"Lantana Beach, Palm Beach County",M,False
2017-05-05,MEXICO,Baja California Sur,"Los Arbolitos, Cabo Pulmo",M,True
2017-02-25,AUSTRALIA,Western Australia,Mauds Point,F,False
2017-02-24,AUSTRALIA,Western Australia,"Falcon Bay Beach, Mandurah",M,False
2017-02-11,USA,Florida,"Melbourne Beach, Brevard County",M,False
2017-02-01,BAHAMAS,Bimini,,M,False
2017-01-22,USA,Florida,"Vero Beach, Indian River County",M,False
2017-01-03,AUSTRALIA,New South Wales,Merimbula,M,
2016-08-07,BAHAMAS,New Providence Island,Nassau,M,False
2016-08-04,USA,Florida,"New Smyrna Beach, Volusia County",M,False
2016-07-16,USA,Florida,"New Smyrna Beach, Volusia County",F,False
2016-06-25,USA,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County",M,False
2016-06-24,COLOMBIA,Isla Providencia,,M,False
2016-05-31,AUSTRALIA,Western Australia,"Falcon Beach, Mandurah",M,True
2016-05-21,USA,Florida,"St. Petersburg, Pinellas County",F,False
2016-02-02,BRAZIL,Balneário Camboriú,Estaleirinho beach,M,False
2015-11-01,MOZAMBIQUE,Inhambane Province,Maxixe,M,False
2015-09-04,AUSTRALIA,New South Wales,Hallidays Point,M,False
2015-01-01,USA,Florida,"Windsor Beach, Indian River County",M,False
2014-10-31,USA,Hawaii,"North Kohala, Hawaii County",F,False
2014-09-13,USA,California,"Manresa State Beach, Santa Cruz County",M,
2014-06-01,USA,Florida,Fort Lauderdale,F,False
2014-05-15,USA,Florida,"Juan Ponce de León Landing, Melbourne Beach, Brevard County",F,False
2013-10-24,AUSTRALIA,New South Wales,South Narrabeen Beach,M,False
2013-10-20,USA,Hawaii,"Pila'a Beach, Kaua'i",M,False
2012-11-22,MEXICO,Sinaloa,Nuevo Altata,M,True
2012-06-10,ITALY,Sardinia,Muravera,M,
2012-05-29,MEXICO,Guerrero,"Boca de la Leña, La Unión",M,False
2012-03-14,USA,Florida,"New Smyrna Beach, Volusia County",M,False
2012-01-13,USA,Oregon,"Lincoln City, Lincoln County",M,False
2011-11-11,REUNION ISLAND,Bois-Blanc,Sainte-Rose,M,False
2011-10-29,USA,California,"Marina State Beach, Monterey County",M,False
2011-10-02,USA,Florida,"Santa Maria Island, Manatee County",M,False
2011-06-12,USA,Florida,"Off Jupiter Inlet, Palm Beach County",M,False
2011-06-01,MALAYSIA,Kedah,Palau Payar,F,False
2011-01-28,MEXICO,Colima,Revillagigedo Islands,M,False
2010-11-27,AUSTRALIA,Western Australia,Native Dog Beach,M,
2010-09-04,USA,Florida,"New Smyrna Beach, Volusia County",M,False
2010-08-08,AUSTRALIA,New South Wales,Crescent Head,M,False
2009-11-05,USA,California,"Davenport, Santa Cruz County",M,False
2009-10-14,AUSTRALIA,Western Australia,,M,False
2009-04-03,USA,Florida,"Sanibel Island, Lee County",M,False
2009-02-07,AUSTRALIA,New South Wales,Cellito Beach,M,False
2008-10-08,USA,Florida,"Santa Rosa Beach, Walton County",M,False
2008-08-30,USA,Hawaii,"McKenzie Beach Park in Pahoa, Hawai'i",M,
2008-07-30,SOUTH AFRICA,,,M,False
2008-06-26,USA,South Carolina,"Isle of Palms, Charleston County",M,False
2008-03-21,USA,Florida,"Beachway Avenue Approach, New Smyrna Beach, Volusia County",M,False
2007-08-19,USA,South Carolina,"Lakewood Campground, Grand Strand, Horry County",M,False
2006-09-18,USA,Florida,"Off Key Largo, Monroe County",M,False
2006-07-09,USA,Florida,"Ponte Vedra Beach, St Johns County",M,False
2006-06-24,BAHAMAS,Andros Islands,Mangrove Cay,M,False
2006-06-20,USA,Florida,"New Smyrna Beach, Volusia County",F,False
2006-02-01,TONGA,Vava'u,Tu’anuku,F,True
2005-11-27,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",M,False
2005-07-01,USA,Florida,"Boca Grande, Lee County",M,False
2004-06-10,AUSTRALIA,Western Australia,Bunbury,M,False
2003-07-01,NEW ZEALAND,Cook Islands,Beveridge Reef,M,False
2003-06-19,USA,North Carolina,"Masonboro Island, New Hanover County",M,False
2002-08-28,USA,Hawaii,"Kewalo Basin Channel, O'ahu",M,False
2001-08-27,USA,Florida,"New Smyrna Beach, Volusia County",M,False
2001-05-08,SOUTH AFRICA,Eastern Cape Province,East London,M,False
2001-04-08,SOUTH AFRICA,Eastern Cape Province,Cape St. Francis,M,False
2001-04-05,USA,Florida,"Bethune Beach, south of New Smyrna Beach, Volusia County",M,False
2000-09-24,AUSTRALIA,South Australia,Cactus Beach near Penong,M,True
2000-09-16,OKINAWA,Miyako Island,Sunayama Beach,M,True
2000-09-15,USA,Florida,"Fort Pierce Inlet, St Lucie County",M,False
2000-08-11,USA,North Carolina,"Emerald Isle, Carteret County",M,
2000-07-10,USA,Florida,"Daytona  Beach, Volusia County",M,False
1999-04-01,USA,Florida,"Hobe Sound Beach, Palm Beach County",M,False
1999-03-05,USA,Hawaii,"Quarter mile offshore in Kaanapali, West Maui",F,False
1998-08-30,USA,Florida,"Ponce Inlet, Volusia County",M,False
1997-12-25,USA,Florida,"Fort Lauderdale, Broward County",F,
1997-05-31,USA,Florida,"Flagler Beach, Flagler County",M,False
1996-09-06,USA,Florida,"New Smyrna Beach, Volusia County",M,False
1996-06-04,SOUTH AFRICA,KwaZulu-Natal,LaMercy,M,False
1996-05-18,USA,Florida,"South of Ponce Inlet, Volusia County",M,False
1996-01-23,USA,Florida,"Florida Keys, Monroe County",M,False
1995-09-03,USA,California,"Shelter Cove, Humboldt County",M,False
1995-07-28,USA,Florida,"New Smyrna Beach, Volusia County",M,False
1995-02-19,SOUTH AFRICA,Eastern Cape Province,Kidd’s Beach,M,False
1995-01-24,SOUTH AFRICA,KwaZulu-Natal,Isipingo,M,True
1994-10-05,USA,Florida,"Indialantic, Brevard County",M,False
1994-05-24,USA,Florida,"Spessard Holland Park, Melbourne Beach, Brevard County",F,False
1993-07-30,SOUTH AFRICA,Eastern Cape Province,"Pollock Beach, Port Elizabeth",M,False
1992-05-01,MEXICO,Mexico / Caribbean Sea,Isla Mujeres,M,False
1991-07-27,USA,Florida,"John Pennekamp Marine Park, Monroe County",M,False
1991-06-29,HONG KONG,,"Basalt Island, 9km from Silverstrand",M,True
1991-06-26,USA,Florida,"Jacksonville Beach, Duval County",M,False
1991-04-16,USA,Florida,"South of Ponce Inlet, New Smyrna Beach, Volusia County",M,False
1990-11-01,USA,Florida,"Spanish River Park Beach, Palm Beach County",M,False
1989-10-01,AUSTRALIA,Victoria,"Surfers Point, Phillip Island",M,
1989-01-20,SOUTH AFRICA,KwaZulu-Natal,Isipingo,M,False
1988-05-27,SOUTH KOREA,,,F,True
1988-01-27,SOUTH AFRICA,KwaZulu-Natal,Durban,M,
1987-10-26,USA,California,"Davenport Light, San Mateo County",M,False
1987-08-15,USA,California,"Tunitas Beach, San Mateo County",M,False
1987-02-28,USA,Florida,"Singer Island, Riviera Beach, Palm Beach County",M,False
1986-12-06,BAHAMAS,Florida Straits,Off Cay Sal  Banks,M,False
1986-02-07,SOUTH AFRICA,Eastern Cape Province,"King's Beach, Port Elizabeth",M,False
1985-12-22,SOUTH AFRICA,KwaZulu-Natal,Garvies Beach,M,False
1983-12-25,USA,Florida,"Riviera Beach, Palm Beach County",M,False
1980-06-26,USA,California,"Off San Clemente Island, Los Angeles County",F,False
1980-03-28,BRAZIL,Rio de Janeiro,"Copacabana Beach, Rio de Janiero",M,False
1980-03-15,PHILIPPINES,,250 miles southwest of Manila,F,True
1979-08-28,HONG KONG,,Mirs Bay,M,True
1979-05-01,NEW CALEDONIA,North Province,Balade,M,True
1979-03-01,NEW CALEDONIA,Grand Terre,"Five Mile Beach, I'le Ouen",M,True
1978-01-01,VANUATU,Malampa Province,"Ranon, Ambryn",F,True
1977-08-05,USA,Florida,"St. Petersburg, Pinellas County",M,
1977-06-26,USA,Florida,"12 miles northeast of Mayport,  Duval County",M,False
1977-03-17,SOUTH AFRICA,Western Cape Province,"Lappiesbaai Beach, Stilbaai",M,False
1976-12-29,AUSTRALIA,Queensland,Caloundra,M,False
1975-02-23,SOUTH AFRICA,KwaZulu-Natal,"Inyoni Rocks, Amanzimtoti",M,False
1974-09-14,USA,California,"North Farallon Island, Farallon Islands",M,False
1973-12-18,USA,Hawaii,"Kalama Beach, Kihei, Maui",M,False
1971-07-26,USA,Florida,"Daytona Beach, Volusia County",M,False
1971-04-05,VENEZUELA,,,M,True
1970-09-13,PALAU,Western Caroline Islands (North Pacific Ocean),Outside barrier reef,M,False
1969-08-02,USA,Florida,"St. Petersburg, Pinnellas County",M,False
1968-10-13,USA,Florida,"Egmont Key, Hillsborough County",M,False
1968-08-08,COLOMBIA,Magdalena Department,"Makuaka Caño, Taganga",M,False
1967-03-01,PAPUA NEW GUINEA,New Britain,"Barawon Beach, near Rabaul",M,False
1966-09-08,USA,Florida,"Florida Keys, Monroe County",M,False
1966-07-19,USA,South Carolina,"Folly Beach, Charleston County",M,False
1966-05-20,AUSTRALIA,New South Wales,Bellingen,M,False
1965-10-01,PAPUA NEW GUINEA,New Britain,,M,False
1965-03-14,USA,Florida,"Pompano Beach, Palm Beach County",M,False
1965-01-25,USA,California,"Newport Beach, Orange County",M,
1964-07-01,PAPUA NEW GUINEA,New Ireland Province,A reef off New Hanover (Northern end),M,True
1964-02-10,NEW ZEALAND,North Island,"West of Pukerua Bay, Wellington",M,False
1963-09-10,USA,Florida,"Snapper Point Jetty, Miami, Dade County",M,False
1963-04-13,AUSTRALIA,Western Australia,Yallingup,M,False
1962-10-28,SOUTH AFRICA,KwaZulu-Natal,Paradise Reef,M,False
1962-10-06,USA,California,2 miles off Santa Catalina Island,F,
1962-08-30,PAPUA NEW GUINEA,Northern District,Kufulu Point,M,False
1962-01-11,NEW ZEALAND,South Island,"Fairdown Beach, 5 miles north of Westport",F,False
1962-01-01,MARSHALL ISLANDS,Kwajalein Atoll,Roi-namur Island,M,False
1961-12-28,AUSTRALIA,Queensland,"Lambert's Beach, Mackay",F,True
1961-04-09,MOZAMBIQUE,Gaza,Xai Xai,M,True
1961-03-12,AUSTRALIA,South Australia,Aldinga Beach,M,False
1961-01-05,MOZAMBIQUE,Limpopo River,190 km to 240 km from the sea,M,False
1960-04-10,AUSTRALIA,Western Australia,Off Rottnest Island,M,False
1960-02-27,NEW ZEALAND,North Island,"Mangawhai, near Wellsford",M,False
1959-12-03,NEW ZEALAND,North Island,Moko Hinau,M,False
1959-09-30,PHILIPPINES,Leyte Island,Luang Dulag,M,False
1958-07-01,PAPUA NEW GUINEA,"New Ireland Province, Bismarck Archipelago","Maritzoan, east coast of Namatanai",M,True
1958-01-01,PAPUA NEW GUINEA,West New Britain Province,"Bulu, Talasea",M,True
1956-09-01,ITALY,Tyrrenian Sea,1.5 miles south of  San Felice Circeo,M,False
1956-08-15,AUSTRALIA,Queensland,Near Southport,M,False
1955-09-23,NORTH PACIFIC OCEAN,1000 miles west of Hawaii,Between Wake & Johnston Islands,M,True
1955-01-15,SOUTH AFRICA,KwaZulu-Natal,A ford known as Brodies Coffin in St. Lucia Bay,M,True
1954-07-10,USA,Louisiana,Pontchartrain Beach,F,False
1953-01-20,AUSTRALIA,South Australia,Largs Bay,M,False
1951-12-21,MOZAMBIQUE,Bay of Maputu,Catembe,M,True
1951-06-25,USA,Hawaii,"Kapehu Beach, Laupahoehoe, Hawai'i",M,True
1951-02-01,AUSTRALIA,New South Wales,Bondi Beach,M,False
1949-08-28,AUSTRALIA,Queensland,Yorkey’s Knob Beach near Cairns,M,True
1948-12-26,AUSTRALIA,Queensland,"King’s Beach, Caloundra",M,True
1947-11-01,AUSTRALIA,Queensland,Moreton Bay,M,True
1946-02-10,SOUTH AFRICA,KwaZulu-Natal,"Battery Beach, Durban",M,False
1945-01-01,JAMAICA,,,M,False
1945-01-01,CUBA,Havana Province,Cojimar,M,True
1941-06-15,USA,New York,15 miles south of Jones Inlet,M,False
1940-12-19,AUSTRALIA,Queensland,Double Island Beach,M,False
1939-07-16,BAHAMAS,Andros Islands,Blue Hole,M,False
1938-07-17,TURKEY,,,M,False
1937-11-13,USA,North Carolina,Off Cape Hatteraa,M,True
1937-01-27,AUSTRALIA,New South Wales,"Lake Conjola, near Milton",M,False
1936-03-30,USA,Florida,"Miami, Miami-Date County",M,False
1936-03-12,AUSTRALIA,Torres Strait,"Near Shelburne Bay, Queenland",M,False
1935-04-25,AUSTRALIA,New South Wales,Coogee,M,
1933-06-08,AUSTRALIA,Queensland,Currumbin,M,False
1931-08-01,AUSTRALIA,Queensland,Port Douglas,M,True
1930-07-11,USA,Florida,"Jensen Beach, Martin County",M,False
1930-04-08,SOUTH AFRICA,Eastern Cape Province,Bashee River,M,
1929-12-13,AUSTRALIA,Torres Strait,Thursday Island,M,False
1929-08-05,USA,South Carolina,Fort Moultrie,M,False
1929-03-12,AUSTRALIA,Torres Strait,Near Dauan Island,M,True
1928-04-14,AUSTRALIA,New South Wales,Bondi,M,False
1925-03-10,PAPUA NEW GUINEA,Central Province,Hula,M,True
1925-01-27,USA,Florida,"Miami Beach, Miami-Dade County",M,False
1925-01-08,CANADA,Vancouver,Second Narrows in Burrard Inlet,M,False
1924-11-24,PANAMA,"2 to 3 miles off Taboguilla Island, Pacific Ocean",Pacific Anchorage off the Panama Canal,M,False
1916-11-09,AUSTRALIA,Queensland,"Kissing Point Camp, Townsville",M,True
1914-02-09,AUSTRALIA,South Australia,Marion Bay,M,False
1913-07-10,COSTA RICA,,Port Limon,M,True
1909-04-09,TUNISIA,Sfax,,M,True
1908-01-08,USA,Hawaii,"Mana, Kaua'i",M,True
1906-09-27,INDONESIA,Java,Lorok Bay,M,False
1905-07-01,USA,North Carolina,"Ocracoke, Hyde County",M,True
1905-01-01,AUSTRALIA,Victoria,Elwood,M,
1904-01-01,REUNION ISLAND,,Swimming off the British steamer Troutpool,M,True
2023-07-21,USA,South Carolina,"Sea Pines Beach, Hilton Head Island, Beaufort County",M,False
2023-05-03,SOUTH AFRICA,Easten Cape Province,"Supertubes, Jeffreys Bay",M,False
2023-03-16,AUSTRALIA,Western Australia,Cheynes Beach,F,False
2022-10-27,USA,Mississippi,Horn Island,M,False
2022-07-27,USA,Florida,"Florida Keys, Monroe County",M,False
2022-07-25,USA,Florida,"Daytona Beach, Volusia County",M,False
2022-05-20,AUSTRALIA,Western Australia,"Royal Perth Yacht Club, Swan River",M,False
2022-04-07,USA,Florida,Canaveral National Seashore,M,False
2021-10-15,AUSTRALIA,Queensland,"Hook Island, Whitsundays",M,False
2021-08-03,USA,South Carolina,"Hilton Head Island, Beaufort County",M,False
2021-07-05,AUSTRALIA,New South Wales,Crescent Head,M,False
2020-10-04,AUSTRALIA,Western Australia,"Toms Surf break, Hamersley Pool, North Beach, Perth",M,False
2019-11-30,USA,Florida,"New Smyrna Beach, Volusia County",M,False
2019-08-16,USA,Florida,"New Smyrna Beach, Volusia County",M,False
2019-06-10,USA,North Carolina,"Ocean Isle, Brunswick County",M,False
2019-01-14,AUSTRALIA,Western Australia,North Cottesloe,F,False
2018-11-05,AUSTRALIA,Queensland,"Cid Harbor, Whitsundays",M,True
2018-09-23,BAHAMAS,Abaco Islands,Treasure Cay,F,False
2018-05-26,USA,Florida,"Daytona Beach, Volusia County",M,False
2018-04-28,COSTA RICA,Cocos Island,Manuelita,M,False
2018-03-31,USA,Hawaii,Kukio Beach,M,False
2017-12-31,USA,Hawaii,"Hultin's Beach, Oahu",F,False
2017-09-25,AUSTRALIA,Western Australia,Gracetown,M,False
2017-09-13,USA,Florida,"Ponce Inlet, Volusia County",M,False
